주택건설실적통계(준공)(Statistics on Housing Construction(completion)) / 주택규모별 주택건설 준공실적(월계) (201007 ~ 202509),,,,,,,
다운로드 시간 : 2025-11-16   16:03,,,,,,,
,검색기간  : 202303 ~ 202509,검색분야 : 주택,작성주기 : 매월,,,,
 ,,,,,,,
월(Monthly),구  분,규모별,사용검사실적,,,,
2023-03,총계,계,"26,355",,,,
2023-03,총계,40㎡이하,"3,591",,,,
2023-03,총계,40~60㎡이하,"6,373",,,,
2023-03,총계,60~85㎡이하,"12,467",,,,
2023-03,총계,85~135㎡이하,"2,377",,,,
2023-03,총계,135㎡초과,"1,547",,,,
2023-03,수도권소계,계,"12,934",,,,
2023-03,수도권소계,40㎡이하,"2,774",,,,
2023-03,수도권소계,40~60㎡이하,"4,481",,,,
2023-03,수도권소계,60~85㎡이하,"4,155",,,,
2023-03,수도권소계,85~135㎡이하,844,,,,
2023-03,수도권소계,135㎡초과,680,,,,
2023-03,서울,계,"2,874",,,,
2023-03,서울,40㎡이하,637,,,,
2023-03,서울,40~60㎡이하,"1,874",,,,
2023-03,서울,60~85㎡이하,222,,,,
2023-03,서울,85~135㎡이하,27,,,,
2023-03,서울,135㎡초과,114,,,,
2023-03,인천,계,551,,,,
2023-03,인천,40㎡이하,126,,,,
2023-03,인천,40~60㎡이하,134,,,,
2023-03,인천,60~85㎡이하,177,,,,
2023-03,인천,85~135㎡이하,56,,,,
2023-03,인천,135㎡초과,58,,,,
2023-03,경기,계,"9,509",,,,
2023-03,경기,40㎡이하,"2,011",,,,
2023-03,경기,40~60㎡이하,"2,473",,,,
2023-03,경기,60~85㎡이하,"3,756",,,,
2023-03,경기,85~135㎡이하,761,,,,
2023-03,경기,135㎡초과,508,,,,
2023-03,지방소계,계,"13,421",,,,
2023-03,지방소계,40㎡이하,817,,,,
2023-03,지방소계,40~60㎡이하,"1,892",,,,
2023-03,지방소계,60~85㎡이하,"8,312",,,,
2023-03,지방소계,85~135㎡이하,"1,533",,,,
2023-03,지방소계,135㎡초과,867,,,,
2023-03,기타광역시,계,"7,826",,,,
2023-03,기타광역시,40㎡이하,747,,,,
2023-03,기타광역시,40~60㎡이하,"1,681",,,,
2023-03,기타광역시,60~85㎡이하,"4,725",,,,
2023-03,기타광역시,85~135㎡이하,467,,,,
2023-03,기타광역시,135㎡초과,206,,,,
2023-03,부산,계,"1,629",,,,
2023-03,부산,40㎡이하,644,,,,
2023-03,부산,40~60㎡이하,526,,,,
2023-03,부산,60~85㎡이하,362,,,,
2023-03,부산,85~135㎡이하,81,,,,
2023-03,부산,135㎡초과,16,,,,
2023-03,대구,계,"3,676",,,,
2023-03,대구,40㎡이하,86,,,,
2023-03,대구,40~60㎡이하,"1,031",,,,
2023-03,대구,60~85㎡이하,"2,341",,,,
2023-03,대구,85~135㎡이하,195,,,,
2023-03,대구,135㎡초과,23,,,,
2023-03,광주,계,210,,,,
2023-03,광주,40㎡이하,16,,,,
2023-03,광주,40~60㎡이하,,,,,
2023-03,광주,60~85㎡이하,2,,,,
2023-03,광주,85~135㎡이하,179,,,,
2023-03,광주,135㎡초과,13,,,,
2023-03,대전,계,"1,869",,,,
2023-03,대전,40㎡이하,1,,,,
2023-03,대전,40~60㎡이하,,,,,
2023-03,대전,60~85㎡이하,"1,747",,,,
2023-03,대전,85~135㎡이하,4,,,,
2023-03,대전,135㎡초과,117,,,,
2023-03,울산,계,442,,,,
2023-03,울산,40㎡이하,,,,,
2023-03,울산,40~60㎡이하,124,,,,
2023-03,울산,60~85㎡이하,273,,,,
2023-03,울산,85~135㎡이하,8,,,,
2023-03,울산,135㎡초과,37,,,,
2023-03,기타지방,계,"5,595",,,,
2023-03,기타지방,40㎡이하,70,,,,
2023-03,기타지방,40~60㎡이하,211,,,,
2023-03,기타지방,60~85㎡이하,"3,587",,,,
2023-03,기타지방,85~135㎡이하,"1,066",,,,
2023-03,기타지방,135㎡초과,661,,,,
2023-03,강원,계,199,,,,
2023-03,강원,40㎡이하,5,,,,
2023-03,강원,40~60㎡이하,13,,,,
2023-03,강원,60~85㎡이하,29,,,,
2023-03,강원,85~135㎡이하,80,,,,
2023-03,강원,135㎡초과,72,,,,
2023-03,충북,계,233,,,,
2023-03,충북,40㎡이하,5,,,,
