미분양주택현황보고(Unsold New Housings) / 시·군·구별 미분양현황 (200012 ~ 202509),,,,,,,
다운로드 시간 : 2025-11-16   16:11,,,,,,,
,검색기간  : 201902 ~ 202302,검색분야 : 주택,작성주기 : 매월,,,,
 ,,,,,,,
월(Monthly),구분,시군구,미분양현황,,,,
2019-02,서울,계,50,,,,
2019-02,서울,종로구,0,,,,
2019-02,서울,중구,0,,,,
2019-02,서울,용산구,0,,,,
2019-02,서울,성동구,3,,,,
2019-02,서울,광진구,0,,,,
2019-02,서울,동대문구,0,,,,
2019-02,서울,중랑구,0,,,,
2019-02,서울,성북구,0,,,,
2019-02,서울,강북구,0,,,,
2019-02,서울,도봉구,5,,,,
2019-02,서울,노원구,0,,,,
2019-02,서울,은평구,0,,,,
2019-02,서울,서대문구,0,,,,
2019-02,서울,마포구,0,,,,
2019-02,서울,양천구,3,,,,
2019-02,서울,강서구,0,,,,
2019-02,서울,구로구,0,,,,
2019-02,서울,금천구,0,,,,
2019-02,서울,영등포구,0,,,,
2019-02,서울,동작구,0,,,,
2019-02,서울,관악구,0,,,,
2019-02,서울,서초구,16,,,,
2019-02,서울,강남구,0,,,,
2019-02,서울,송파구,8,,,,
2019-02,서울,강동구,15,,,,
2019-02,부산,계,"5,228",,,,
2019-02,부산,중구,0,,,,
2019-02,부산,서구,199,,,,
2019-02,부산,동구,353,,,,
2019-02,부산,영도구,594,,,,
2019-02,부산,부산진구,"1,113",,,,
2019-02,부산,동래구,142,,,,
2019-02,부산,남구,68,,,,
2019-02,부산,북구,203,,,,
2019-02,부산,해운대구,61,,,,
2019-02,부산,사하구,538,,,,
2019-02,부산,금정구,214,,,,
2019-02,부산,강서구,141,,,,
2019-02,부산,연제구,219,,,,
2019-02,부산,수영구,39,,,,
2019-02,부산,사상구,298,,,,
2019-02,부산,기장군,"1,046",,,,
2019-02,대구,계,738,,,,
2019-02,대구,중구,0,,,,
2019-02,대구,동구,18,,,,
2019-02,대구,서구,0,,,,
2019-02,대구,남구,0,,,,
2019-02,대구,북구,0,,,,
2019-02,대구,수성구,72,,,,
2019-02,대구,달서구,27,,,,
2019-02,대구,달성군,621,,,,
2019-02,인천,계,"1,799",,,,
2019-02,인천,중구,581,,,,
2019-02,인천,남동구,98,,,,
2019-02,인천,서구,739,,,,
2019-02,인천,연수구,0,,,,
2019-02,인천,미추홀구,239,,,,
2019-02,인천,동구,17,,,,
2019-02,인천,부평구,95,,,,
2019-02,인천,계양구,30,,,,
2019-02,인천,강화군,0,,,,
2019-02,인천,옹진군,0,,,,
2019-02,광주,계,49,,,,
2019-02,광주,동구,0,,,,
2019-02,광주,서구,3,,,,
2019-02,광주,남구,0,,,,
2019-02,광주,북구,37,,,,
2019-02,광주,광산구,9,,,,
2019-02,대전,계,"1,475",,,,
2019-02,대전,동구,93,,,,
2019-02,대전,중구,216,,,,
2019-02,대전,서구,477,,,,
2019-02,대전,유성구,572,,,,
2019-02,대전,대덕구,117,,,,
2019-02,울산,계,"1,009",,,,
2019-02,울산,중구,99,,,,
2019-02,울산,남구,466,,,,
2019-02,울산,동구,84,,,,
2019-02,울산,북구,163,,,,
2019-02,울산,울주군,197,,,,
2019-02,경기,계,"5,878",,,,
2019-02,경기,수원시,5,,,,
2019-02,경기,성남시,245,,,,
2019-02,경기,의정부시,127,,,,
2019-02,경기,안양시,43,,,,
2019-02,경기,부천시,59,,,,
2019-02,경기,광명시,0,,,,
2019-02,경기,평택시,831,,,,
2019-02,경기,동두천시,170,,,,
2019-02,경기,안산시,77,,,,
2019-02,경기,고양시,413,,,,
