미분양주택현황보고(Unsold New Housings) / 시·군·구별 미분양현황 (200012 ~ 202509),,,,,,,
다운로드 시간 : 2025-11-16   16:12,,,,,,,
,검색기간  : 202303 ~ 202509,검색분야 : 주택,작성주기 : 매월,,,,
 ,,,,,,,
월(Monthly),구분,시군구,미분양현황,,,,
2023-03,서울,계,"1,084",,,,
2023-03,서울,종로구,0,,,,
2023-03,서울,중구,2,,,,
2023-03,서울,용산구,37,,,,
2023-03,서울,성동구,0,,,,
2023-03,서울,광진구,3,,,,
2023-03,서울,동대문구,52,,,,
2023-03,서울,중랑구,0,,,,
2023-03,서울,성북구,0,,,,
2023-03,서울,강북구,200,,,,
2023-03,서울,도봉구,60,,,,
2023-03,서울,노원구,0,,,,
2023-03,서울,은평구,0,,,,
2023-03,서울,서대문구,0,,,,
2023-03,서울,마포구,243,,,,
2023-03,서울,양천구,0,,,,
2023-03,서울,강서구,129,,,,
2023-03,서울,구로구,89,,,,
2023-03,서울,금천구,12,,,,
2023-03,서울,영등포구,0,,,,
2023-03,서울,동작구,0,,,,
2023-03,서울,관악구,0,,,,
2023-03,서울,서초구,0,,,,
2023-03,서울,강남구,0,,,,
2023-03,서울,송파구,0,,,,
2023-03,서울,강동구,257,,,,
2023-03,부산,계,"2,526",,,,
2023-03,부산,중구,0,,,,
2023-03,부산,서구,86,,,,
2023-03,부산,동구,441,,,,
2023-03,부산,영도구,26,,,,
2023-03,부산,부산진구,847,,,,
2023-03,부산,동래구,7,,,,
2023-03,부산,남구,24,,,,
2023-03,부산,북구,31,,,,
2023-03,부산,해운대구,44,,,,
2023-03,부산,사하구,439,,,,
2023-03,부산,금정구,209,,,,
2023-03,부산,강서구,9,,,,
2023-03,부산,연제구,80,,,,
2023-03,부산,수영구,62,,,,
2023-03,부산,사상구,197,,,,
2023-03,부산,기장군,24,,,,
2023-03,대구,계,"13,199",,,,
2023-03,대구,중구,"1,087",,,,
2023-03,대구,동구,"1,660",,,,
2023-03,대구,서구,831,,,,
2023-03,대구,남구,"3,082",,,,
2023-03,대구,북구,"1,515",,,,
2023-03,대구,수성구,"2,528",,,,
2023-03,대구,달서구,"2,453",,,,
2023-03,대구,달성군,43,,,,
2023-03,인천,계,"3,565",,,,
2023-03,인천,중구,765,,,,
2023-03,인천,남동구,458,,,,
2023-03,인천,서구,264,,,,
2023-03,인천,연수구,460,,,,
2023-03,인천,미추홀구,"1,054",,,,
2023-03,인천,동구,222,,,,
2023-03,인천,부평구,122,,,,
2023-03,인천,계양구,201,,,,
2023-03,인천,강화군,19,,,,
2023-03,인천,옹진군,0,,,,
2023-03,광주,계,607,,,,
2023-03,광주,동구,95,,,,
2023-03,광주,서구,192,,,,
2023-03,광주,남구,137,,,,
2023-03,광주,북구,44,,,,
2023-03,광주,광산구,139,,,,
2023-03,대전,계,"2,739",,,,
2023-03,대전,동구,386,,,,
2023-03,대전,중구,968,,,,
2023-03,대전,서구,"1,248",,,,
2023-03,대전,유성구,64,,,,
2023-03,대전,대덕구,73,,,,
2023-03,울산,계,"4,134",,,,
2023-03,울산,중구,106,,,,
2023-03,울산,남구,"1,847",,,,
2023-03,울산,동구,64,,,,
2023-03,울산,북구,43,,,,
2023-03,울산,울주군,"2,074",,,,
2023-03,경기,계,"6,385",,,,
2023-03,경기,수원시,413,,,,
2023-03,경기,성남시,74,,,,
2023-03,경기,의정부시,220,,,,
2023-03,경기,안양시,84,,,,
2023-03,경기,부천시,131,,,,
2023-03,경기,광명시,70,,,,
2023-03,경기,평택시,974,,,,
2023-03,경기,동두천시,177,,,,
