미분양주택현황보고(Unsold New Housings) / 시·군·구별 미분양현황 (200012 ~ 202509),,,,,,,
다운로드 시간 : 2025-11-16   16:11,,,,,,,
,검색기간  : 201501 ~ 201901,검색분야 : 주택,작성주기 : 매월,,,,
 ,,,,,,,
월(Monthly),구분,시군구,미분양현황,,,,
2015-01,전북,김제시,326,,,,
2015-01,전북,완주군,0,,,,
2015-01,전북,진안군,0,,,,
2015-01,전북,무주군,0,,,,
2015-01,전북,장수군,0,,,,
2015-01,전북,임실군,8,,,,
2015-01,전북,순창군,0,,,,
2015-01,전북,고창군,0,,,,
2015-01,전북,부안군,0,,,,
2015-01,전남,계,"2,006",,,,
2015-01,전남,목포시,405,,,,
2015-01,전남,여수시,381,,,,
2015-01,전남,순천시,319,,,,
2015-01,전남,나주시,22,,,,
2015-01,전남,광양시,821,,,,
2015-01,전남,담양군,0,,,,
2015-01,전남,곡성군,0,,,,
2015-01,전남,구례군,0,,,,
2015-01,전남,고흥군,0,,,,
2015-01,전남,보성군,0,,,,
2015-01,전남,화순군,0,,,,
2015-01,전남,장흥군,0,,,,
2015-01,전남,강진군,0,,,,
2015-01,전남,해남군,0,,,,
2015-01,전남,영암군,0,,,,
2015-01,전남,무안군,58,,,,
2015-01,전남,함평군,0,,,,
2015-01,전남,영광군,0,,,,
2015-01,전남,장성군,0,,,,
2015-01,전남,완도군,0,,,,
2015-01,전남,진도군,0,,,,
2015-01,전남,신안군,0,,,,
2015-01,경북,계,"2,024",,,,
2015-01,경북,포항시,343,,,,
2015-01,경북,경주시,72,,,,
2015-01,경북,김천시,362,,,,
2015-01,경북,안동시,12,,,,
2015-01,경북,구미시,903,,,,
2015-01,경북,영주시,5,,,,
2015-01,경북,영천시,0,,,,
2015-01,경북,상주시,0,,,,
2015-01,경북,문경시,0,,,,
2015-01,경북,경산시,0,,,,
2015-01,경북,군위군,0,,,,
2015-01,경북,의성군,52,,,,
2015-01,경북,청송군,0,,,,
2015-01,경북,영양군,0,,,,
2015-01,경북,영덕군,0,,,,
2015-01,경북,청도군,17,,,,
2015-01,경북,고령군,0,,,,
2015-01,경북,성주군,0,,,,
2015-01,경북,칠곡군,208,,,,
2015-01,경북,예천군,34,,,,
2015-01,경북,봉화군,0,,,,
2015-01,경북,울진군,16,,,,
2015-01,경북,울릉군,0,,,,
2015-01,경남,계,"3,138",,,,
2015-01,경남,창원시,555,,,,
2015-01,경남,진주시,395,,,,
2015-01,경남,통영시,428,,,,
2015-01,경남,사천시,260,,,,
2015-01,경남,김해시,692,,,,
2015-01,경남,밀양시,3,,,,
2015-01,경남,거제시,3,,,,
2015-01,경남,양산시,215,,,,
2015-01,경남,의령군,16,,,,
2015-01,경남,함안군,27,,,,
2015-01,경남,창녕군,20,,,,
2015-01,경남,고성군,0,,,,
2015-01,경남,남해군,0,,,,
2015-01,경남,하동군,0,,,,
2015-01,경남,산청군,167,,,,
2015-01,경남,함양군,2,,,,
2015-01,경남,거창군,331,,,,
2015-01,경남,합천군,24,,,,
2015-01,제주,계,168,,,,
2015-01,제주,제주시,125,,,,
2015-01,제주,서귀포시,43,,,,
2015-02,서울,계,"1,238",,,,
2015-02,서울,종로구,201,,,,
2015-02,서울,중구,0,,,,
2015-02,서울,용산구,186,,,,
2015-02,서울,성동구,0,,,,
2015-02,서울,광진구,0,,,,
2015-02,서울,동대문구,0,,,,
2015-02,서울,중랑구,0,,,,
2015-02,서울,성북구,143,,,,
2015-02,서울,강북구,3,,,,
2015-02,서울,도봉구,0,,,,
2015-02,서울,노원구,5,,,,
2015-02,서울,은평구,2,,,,
2015-02,서울,서대문구,156,,,,
2015-02,서울,마포구,10,,,,
2015-02,서울,양천구,30,,,,
2015-02,서울,강서구,13,,,,
2015-02,서울,구로구,0,,,,
2015-02,서울,금천구,0,,,,
2015-02,서울,영등포구,8,,,,
2015-02,서울,동작구,0,,,,
2015-02,서울,관악구,0,,,,
2015-02,서울,서초구,25,,,,
2015-02,서울,강남구,8,,,,
2015-02,서울,송파구,0,,,,
2015-02,서울,강동구,448,,,,
2015-02,부산,계,"1,515",,,,
2015-02,부산,중구,7,,,,
2015-02,부산,서구,60,,,,
2015-02,부산,동구,0,,,,
2015-02,부산,영도구,19,,,,
2015-02,부산,부산진구,39,,,,
2015-02,부산,동래구,4,,,,
2015-02,부산,남구,24,,,,
2015-02,부산,북구,24,,,,
2015-02,부산,해운대구,322,,,,
2015-02,부산,사하구,96,,,,
2015-02,부산,금정구,71,,,,
2015-02,부산,강서구,452,,,,
2015-02,부산,연제구,19,,,,
2015-02,부산,수영구,0,,,,
2015-02,부산,사상구,287,,,,
2015-02,부산,기장군,91,,,,
2015-02,대구,계,669,,,,
2015-02,대구,중구,0,,,,
2015-02,대구,동구,0,,,,
2015-02,대구,서구,69,,,,
2015-02,대구,남구,0,,,,
2015-02,대구,북구,0,,,,
2015-02,대구,수성구,39,,,,
2015-02,대구,달서구,0,,,,
2015-02,대구,달성군,561,,,,
2015-02,인천,계,"2,991",,,,
2015-02,인천,중구,825,,,,
2015-02,인천,동구,0,,,,
2015-02,인천,남구,691,,,,
2015-02,인천,연수구,680,,,,
2015-02,인천,남동구,148,,,,
2015-02,인천,부평구,3,,,,
2015-02,인천,계양구,238,,,,
2015-02,인천,서구,389,,,,
2015-02,인천,강화군,17,,,,
2015-02,인천,옹진군,0,,,,
2015-02,광주,계,141,,,,
2015-02,광주,동구,25,,,,
2015-02,광주,서구,19,,,,
2015-02,광주,남구,41,,,,
2015-02,광주,북구,40,,,,
2015-02,광주,광산구,16,,,,
2015-02,대전,계,424,,,,
2015-02,대전,동구,0,,,,
2015-02,대전,중구,187,,,,
2015-02,대전,서구,34,,,,
2015-02,대전,유성구,117,,,,
2015-02,대전,대덕구,86,,,,
2015-02,울산,계,309,,,,
2015-02,울산,중구,112,,,,
2015-02,울산,남구,103,,,,
2015-02,울산,동구,5,,,,
2015-02,울산,북구,0,,,,
2015-02,울산,울주군,89,,,,
2015-02,경기,계,"12,695",,,,
2015-02,경기,수원시,605,,,,
2015-02,경기,성남시,43,,,,
2015-02,경기,의정부시,128,,,,
2015-02,경기,안양시,121,,,,
2015-02,경기,부천시,358,,,,
2015-02,경기,광명시,0,,,,
2015-02,경기,평택시,472,,,,
2015-02,경기,동두천시,475,,,,
2015-02,경기,안산시,27,,,,
2015-02,경기,고양시,"1,277",,,,
2015-02,경기,과천시,0,,,,
2015-02,경기,구리시,144,,,,
2015-02,경기,남양주시,723,,,,
2015-02,경기,오산시,425,,,,
2015-02,경기,시흥시,296,,,,
2015-02,경기,군포시,50,,,,
2015-02,경기,의왕시,502,,,,
2015-02,경기,하남시,302,,,,
2015-02,경기,용인시,"3,416",,,,
2015-02,경기,파주시,526,,,,
2015-02,경기,이천시,34,,,,
2015-02,경기,안성시,7,,,,
2015-02,경기,김포시,319,,,,
2015-02,경기,양주시,560,,,,
2015-02,경기,여주시,0,,,,
2015-02,경기,화성시,"1,047",,,,
2015-02,경기,광주시,117,,,,
2015-02,경기,연천군,0,,,,
2015-02,경기,포천시,0,,,,
2015-02,경기,가평군,159,,,,
2015-02,경기,양평군,562,,,,
2015-02,강원,계,"2,850",,,,
2015-02,강원,춘천시,396,,,,
2015-02,강원,원주시,"1,418",,,,
2015-02,강원,강릉시,304,,,,
2015-02,강원,동해시,118,,,,
2015-02,강원,태백시,58,,,,
2015-02,강원,속초시,71,,,,
2015-02,강원,삼척시,61,,,,
2015-02,강원,홍천군,33,,,,
2015-02,강원,횡성군,0,,,,
2015-02,강원,영월군,26,,,,
2015-02,강원,평창군,207,,,,
2015-02,강원,정선군,0,,,,
2015-02,강원,철원군,2,,,,
2015-02,강원,화천군,0,,,,
2015-02,강원,양구군,79,,,,
2015-02,강원,인제군,8,,,,
2015-02,강원,고성군,69,,,,
2015-02,강원,양양군,0,,,,
2015-02,충북,계,"1,090",,,,
2015-02,충북,청주시,41,,,,
2015-02,충북,괴산군,0,,,,
2015-02,충북,단양군,0,,,,
2015-02,충북,보은군,0,,,,
2015-02,충북,영동군,0,,,,
2015-02,충북,옥천군,0,,,,
2015-02,충북,음성군,152,,,,
2015-02,충북,제천시,373,,,,
2015-02,충북,증평군,0,,,,
2015-02,충북,진천군,239,,,,
2015-02,충북,청원군,,,,,
2015-02,충북,충주시,285,,,,
2015-02,충남,계,"2,318",,,,
2015-02,충남,천안시,347,,,,
2015-02,충남,공주시,0,,,,
2015-02,충남,보령시,401,,,,
2015-02,충남,아산시,144,,,,
2015-02,충남,서산시,528,,,,
2015-02,충남,논산시,12,,,,
2015-02,충남,계룡시,65,,,,
2015-02,충남,당진시,278,,,,
2015-02,충남,금산군,0,,,,
2015-02,충남,부여군,0,,,,
2015-02,충남,서천군,49,,,,
2015-02,충남,청양군,0,,,,
2015-02,충남,홍성군,318,,,,
2015-02,충남,예산군,176,,,,
2015-02,충남,태안군,0,,,,
2015-02,세종,계,84,,,,
2015-02,세종,세종시,84,,,,
2015-02,전북,계,883,,,,
2015-02,전북,전주시,104,,,,
2015-02,전북,군산시,91,,,,
2015-02,전북,익산시,118,,,,
2015-02,전북,정읍시,199,,,,
2015-02,전북,남원시,51,,,,
2015-02,전북,김제시,312,,,,
2015-02,전북,완주군,0,,,,
2015-02,전북,진안군,0,,,,
2015-02,전북,무주군,0,,,,
2015-02,전북,장수군,0,,,,
2015-02,전북,임실군,8,,,,
2015-02,전북,순창군,0,,,,
2015-02,전북,고창군,0,,,,
2015-02,전북,부안군,0,,,,
2015-02,전남,계,"1,888",,,,
2015-02,전남,목포시,399,,,,
2015-02,전남,여수시,314,,,,
2015-02,전남,순천시,304,,,,
2015-02,전남,나주시,0,,,,
2015-02,전남,광양시,821,,,,
2015-02,전남,담양군,0,,,,
2015-02,전남,곡성군,0,,,,
2015-02,전남,구례군,0,,,,
2015-02,전남,고흥군,0,,,,
2015-02,전남,보성군,0,,,,
2015-02,전남,화순군,0,,,,
2015-02,전남,장흥군,0,,,,
2015-02,전남,강진군,0,,,,
2015-02,전남,해남군,0,,,,
2015-02,전남,영암군,0,,,,
2015-02,전남,무안군,50,,,,
2015-02,전남,함평군,0,,,,
2015-02,전남,영광군,0,,,,
2015-02,전남,장성군,0,,,,
2015-02,전남,완도군,0,,,,
2015-02,전남,진도군,0,,,,
2015-02,전남,신안군,0,,,,
2015-02,경북,계,"1,844",,,,
2015-02,경북,포항시,262,,,,
2015-02,경북,경주시,20,,,,
2015-02,경북,김천시,328,,,,
2015-02,경북,안동시,12,,,,
2015-02,경북,구미시,807,,,,
2015-02,경북,영주시,3,,,,
2015-02,경북,영천시,0,,,,
2015-02,경북,상주시,9,,,,
2015-02,경북,문경시,0,,,,
2015-02,경북,경산시,0,,,,
2015-02,경북,군위군,0,,,,
2015-02,경북,의성군,49,,,,
2015-02,경북,청송군,0,,,,
2015-02,경북,영양군,0,,,,
2015-02,경북,영덕군,0,,,,
2015-02,경북,청도군,16,,,,
2015-02,경북,고령군,0,,,,
2015-02,경북,성주군,0,,,,
2015-02,경북,칠곡군,165,,,,
2015-02,경북,예천군,157,,,,
2015-02,경북,봉화군,0,,,,
2015-02,경북,울진군,16,,,,
2015-02,경북,울릉군,0,,,,
2015-02,경남,계,"2,766",,,,
2015-02,경남,창원시,501,,,,
2015-02,경남,진주시,286,,,,
2015-02,경남,통영시,365,,,,
2015-02,경남,사천시,222,,,,
2015-02,경남,김해시,605,,,,
2015-02,경남,밀양시,46,,,,
2015-02,경남,거제시,3,,,,
2015-02,경남,양산시,188,,,,
2015-02,경남,의령군,15,,,,
2015-02,경남,함안군,27,,,,
2015-02,경남,창녕군,18,,,,
2015-02,경남,고성군,0,,,,
2015-02,경남,남해군,0,,,,
2015-02,경남,하동군,0,,,,
2015-02,경남,산청군,138,,,,
2015-02,경남,함양군,1,,,,
2015-02,경남,거창군,327,,,,
2015-02,경남,합천군,24,,,,
2015-02,제주,계,108,,,,
2015-02,제주,제주시,65,,,,
2015-02,제주,서귀포시,43,,,,
2015-03,서울,계,"1,064",,,,
2015-03,서울,종로구,151,,,,
2015-03,서울,중구,0,,,,
2015-03,서울,용산구,169,,,,
2015-03,서울,성동구,0,,,,
2015-03,서울,광진구,0,,,,
2015-03,서울,동대문구,0,,,,
2015-03,서울,중랑구,0,,,,
2015-03,서울,성북구,97,,,,
2015-03,서울,강북구,2,,,,
2015-03,서울,도봉구,0,,,,
2015-03,서울,노원구,5,,,,
2015-03,서울,은평구,2,,,,
2015-03,서울,서대문구,137,,,,
2015-03,서울,마포구,10,,,,
2015-03,서울,양천구,30,,,,
2015-03,서울,강서구,318,,,,
2015-03,서울,구로구,0,,,,
2015-03,서울,금천구,0,,,,
2015-03,서울,영등포구,8,,,,
2015-03,서울,동작구,0,,,,
2015-03,서울,관악구,0,,,,
2015-03,서울,서초구,17,,,,
2015-03,서울,강남구,6,,,,
2015-03,서울,송파구,0,,,,
2015-03,서울,강동구,112,,,,
2015-03,부산,계,"1,258",,,,
2015-03,부산,중구,5,,,,
2015-03,부산,서구,26,,,,
2015-03,부산,동구,0,,,,
2015-03,부산,영도구,19,,,,
2015-03,부산,부산진구,39,,,,
2015-03,부산,동래구,3,,,,
2015-03,부산,남구,12,,,,
2015-03,부산,북구,13,,,,
2015-03,부산,해운대구,322,,,,
2015-03,부산,사하구,78,,,,
2015-03,부산,금정구,66,,,,
2015-03,부산,강서구,362,,,,
2015-03,부산,연제구,8,,,,
2015-03,부산,수영구,0,,,,
2015-03,부산,사상구,220,,,,
2015-03,부산,기장군,85,,,,
2015-03,대구,계,483,,,,
2015-03,대구,중구,0,,,,
2015-03,대구,동구,0,,,,
2015-03,대구,서구,69,,,,
2015-03,대구,남구,0,,,,
2015-03,대구,북구,0,,,,
2015-03,대구,수성구,27,,,,
2015-03,대구,달서구,0,,,,
2015-03,대구,달성군,387,,,,
2015-03,인천,계,"2,846",,,,
2015-03,인천,중구,819,,,,
2015-03,인천,동구,0,,,,
2015-03,인천,남구,643,,,,
2015-03,인천,연수구,559,,,,
2015-03,인천,남동구,148,,,,
2015-03,인천,부평구,0,,,,
2015-03,인천,계양구,238,,,,
2015-03,인천,서구,422,,,,
2015-03,인천,강화군,17,,,,
2015-03,인천,옹진군,0,,,,
2015-03,광주,계,109,,,,
2015-03,광주,동구,15,,,,
2015-03,광주,서구,14,,,,
2015-03,광주,남구,41,,,,
2015-03,광주,북구,26,,,,
2015-03,광주,광산구,13,,,,
2015-03,대전,계,478,,,,
2015-03,대전,동구,0,,,,
2015-03,대전,중구,272,,,,
2015-03,대전,서구,23,,,,
2015-03,대전,유성구,113,,,,
2015-03,대전,대덕구,70,,,,
2015-03,울산,계,250,,,,
2015-03,울산,중구,72,,,,
2015-03,울산,남구,102,,,,
2015-03,울산,동구,3,,,,
2015-03,울산,북구,0,,,,
2015-03,울산,울주군,73,,,,
2015-03,경기,계,"10,285",,,,
2015-03,경기,수원시,605,,,,
2015-03,경기,성남시,9,,,,
2015-03,경기,의정부시,128,,,,
2015-03,경기,안양시,121,,,,
2015-03,경기,부천시,279,,,,
2015-03,경기,광명시,0,,,,
2015-03,경기,평택시,165,,,,
2015-03,경기,동두천시,475,,,,
2015-03,경기,안산시,18,,,,
2015-03,경기,고양시,886,,,,
2015-03,경기,과천시,0,,,,
2015-03,경기,구리시,91,,,,
2015-03,경기,남양주시,576,,,,
2015-03,경기,오산시,98,,,,
2015-03,경기,시흥시,0,,,,
2015-03,경기,군포시,101,,,,
2015-03,경기,의왕시,502,,,,
2015-03,경기,하남시,302,,,,
2015-03,경기,용인시,"3,271",,,,
2015-03,경기,파주시,460,,,,
2015-03,경기,이천시,34,,,,
2015-03,경기,안성시,7,,,,
2015-03,경기,김포시,355,,,,
2015-03,경기,양주시,9,,,,
2015-03,경기,여주시,0,,,,
2015-03,경기,화성시,"1,047",,,,
2015-03,경기,광주시,89,,,,
2015-03,경기,연천군,0,,,,
2015-03,경기,포천시,0,,,,
2015-03,경기,가평군,159,,,,
2015-03,경기,양평군,498,,,,
2015-03,강원,계,"2,703",,,,
2015-03,강원,춘천시,392,,,,
2015-03,강원,원주시,"1,300",,,,
2015-03,강원,강릉시,304,,,,
2015-03,강원,동해시,98,,,,
2015-03,강원,태백시,57,,,,
2015-03,강원,속초시,71,,,,
2015-03,강원,삼척시,57,,,,
2015-03,강원,홍천군,33,,,,
2015-03,강원,횡성군,0,,,,
2015-03,강원,영월군,26,,,,
2015-03,강원,평창군,207,,,,
2015-03,강원,정선군,0,,,,
2015-03,강원,철원군,2,,,,
2015-03,강원,화천군,0,,,,
2015-03,강원,양구군,79,,,,
2015-03,강원,인제군,8,,,,
2015-03,강원,고성군,69,,,,
2015-03,강원,양양군,0,,,,
2015-03,충북,계,940,,,,
2015-03,충북,청주시,35,,,,
2015-03,충북,괴산군,0,,,,
2015-03,충북,단양군,0,,,,
2015-03,충북,보은군,0,,,,
2015-03,충북,영동군,0,,,,
2015-03,충북,옥천군,0,,,,
2015-03,충북,음성군,152,,,,
2015-03,충북,제천시,344,,,,
2015-03,충북,증평군,0,,,,
2015-03,충북,진천군,193,,,,
2015-03,충북,청원군,,,,,
2015-03,충북,충주시,216,,,,
2015-03,충남,계,"2,031",,,,
2015-03,충남,천안시,241,,,,
2015-03,충남,공주시,0,,,,
2015-03,충남,보령시,269,,,,
2015-03,충남,아산시,281,,,,
2015-03,충남,서산시,516,,,,
2015-03,충남,논산시,12,,,,
2015-03,충남,계룡시,65,,,,
2015-03,충남,당진시,189,,,,
2015-03,충남,금산군,0,,,,
2015-03,충남,부여군,0,,,,
2015-03,충남,서천군,46,,,,
2015-03,충남,청양군,0,,,,
2015-03,충남,홍성군,236,,,,
2015-03,충남,예산군,176,,,,
2015-03,충남,태안군,0,,,,
2015-03,세종,계,0,,,,
2015-03,세종,세종시,0,,,,
2015-03,전북,계,828,,,,
2015-03,전북,전주시,99,,,,
2015-03,전북,군산시,130,,,,
2015-03,전북,익산시,113,,,,
2015-03,전북,정읍시,146,,,,
2015-03,전북,남원시,38,,,,
2015-03,전북,김제시,294,,,,
2015-03,전북,완주군,0,,,,
2015-03,전북,진안군,0,,,,
2015-03,전북,무주군,0,,,,
2015-03,전북,장수군,0,,,,
2015-03,전북,임실군,8,,,,
2015-03,전북,순창군,0,,,,
2015-03,전북,고창군,0,,,,
2015-03,전북,부안군,0,,,,
2015-03,전남,계,"1,716",,,,
2015-03,전남,목포시,379,,,,
2015-03,전남,여수시,183,,,,
2015-03,전남,순천시,286,,,,
2015-03,전남,나주시,0,,,,
2015-03,전남,광양시,818,,,,
2015-03,전남,담양군,0,,,,
2015-03,전남,곡성군,0,,,,
2015-03,전남,구례군,0,,,,
2015-03,전남,고흥군,0,,,,
2015-03,전남,보성군,0,,,,
2015-03,전남,화순군,0,,,,
2015-03,전남,장흥군,0,,,,
2015-03,전남,강진군,0,,,,
2015-03,전남,해남군,0,,,,
2015-03,전남,영암군,0,,,,
2015-03,전남,무안군,50,,,,
2015-03,전남,함평군,0,,,,
2015-03,전남,영광군,0,,,,
2015-03,전남,장성군,0,,,,
2015-03,전남,완도군,0,,,,
2015-03,전남,진도군,0,,,,
2015-03,전남,신안군,0,,,,
2015-03,경북,계,"1,625",,,,
2015-03,경북,포항시,197,,,,
2015-03,경북,경주시,12,,,,
2015-03,경북,김천시,315,,,,
2015-03,경북,안동시,9,,,,
2015-03,경북,구미시,743,,,,
2015-03,경북,영주시,3,,,,
2015-03,경북,영천시,0,,,,
2015-03,경북,상주시,6,,,,
2015-03,경북,문경시,0,,,,
2015-03,경북,경산시,0,,,,
2015-03,경북,군위군,0,,,,
2015-03,경북,의성군,46,,,,
2015-03,경북,청송군,0,,,,
2015-03,경북,영양군,0,,,,
2015-03,경북,영덕군,0,,,,
2015-03,경북,청도군,9,,,,
2015-03,경북,고령군,0,,,,
2015-03,경북,성주군,0,,,,
2015-03,경북,칠곡군,116,,,,
2015-03,경북,예천군,153,,,,
2015-03,경북,봉화군,0,,,,
2015-03,경북,울진군,16,,,,
2015-03,경북,울릉군,0,,,,
2015-03,경남,계,"2,175",,,,
2015-03,경남,창원시,407,,,,
2015-03,경남,진주시,146,,,,
2015-03,경남,통영시,324,,,,
2015-03,경남,사천시,183,,,,
2015-03,경남,김해시,523,,,,
2015-03,경남,밀양시,37,,,,
2015-03,경남,거제시,3,,,,
2015-03,경남,양산시,134,,,,
2015-03,경남,의령군,14,,,,
2015-03,경남,함안군,12,,,,
2015-03,경남,창녕군,18,,,,
2015-03,경남,고성군,0,,,,
2015-03,경남,남해군,0,,,,
2015-03,경남,하동군,0,,,,
2015-03,경남,산청군,118,,,,
2015-03,경남,함양군,0,,,,
2015-03,경남,거창군,232,,,,
2015-03,경남,합천군,24,,,,
2015-03,제주,계,106,,,,
2015-03,제주,제주시,63,,,,
2015-03,제주,서귀포시,43,,,,
2015-04,서울,계,987,,,,
2015-04,서울,종로구,116,,,,
2015-04,서울,중구,0,,,,
2015-04,서울,용산구,160,,,,
2015-04,서울,성동구,0,,,,
2015-04,서울,광진구,16,,,,
2015-04,서울,동대문구,0,,,,
2015-04,서울,중랑구,0,,,,
2015-04,서울,성북구,0,,,,
2015-04,서울,강북구,2,,,,
2015-04,서울,도봉구,0,,,,
2015-04,서울,노원구,5,,,,
2015-04,서울,은평구,0,,,,
2015-04,서울,서대문구,249,,,,
2015-04,서울,마포구,10,,,,
2015-04,서울,양천구,30,,,,
2015-04,서울,강서구,318,,,,
