주택건설실적통계(준공)(Statistics on Housing Construction(completion)) / 주택규모별 주택건설 준공실적(월계) (201007 ~ 202509),,,,,,,
다운로드 시간 : 2025-11-16   16:03,,,,,,,
,검색기간  : 201902 ~ 202302,검색분야 : 주택,작성주기 : 매월,,,,
 ,,,,,,,
월(Monthly),구  분,규모별,사용검사실적,,,,
2019-02,총계,계,"53,040",,,,
2019-02,총계,40㎡이하,"4,279",,,,
2019-02,총계,40~60㎡이하,"10,355",,,,
2019-02,총계,60~85㎡이하,"31,240",,,,
2019-02,총계,85~135㎡이하,"5,273",,,,
2019-02,총계,135㎡초과,"1,893",,,,
2019-02,수도권소계,계,"27,202",,,,
2019-02,수도권소계,40㎡이하,"3,473",,,,
2019-02,수도권소계,40~60㎡이하,"6,702",,,,
2019-02,수도권소계,60~85㎡이하,"13,510",,,,
2019-02,수도권소계,85~135㎡이하,"2,724",,,,
2019-02,수도권소계,135㎡초과,793,,,,
2019-02,서울,계,"12,912",,,,
2019-02,서울,40㎡이하,"3,079",,,,
2019-02,서울,40~60㎡이하,"5,464",,,,
2019-02,서울,60~85㎡이하,"3,467",,,,
2019-02,서울,85~135㎡이하,722,,,,
2019-02,서울,135㎡초과,180,,,,
2019-02,인천,계,"1,508",,,,
2019-02,인천,40㎡이하,2,,,,
2019-02,인천,40~60㎡이하,76,,,,
2019-02,인천,60~85㎡이하,"1,338",,,,
2019-02,인천,85~135㎡이하,47,,,,
2019-02,인천,135㎡초과,45,,,,
2019-02,경기,계,"12,782",,,,
2019-02,경기,40㎡이하,392,,,,
2019-02,경기,40~60㎡이하,"1,162",,,,
2019-02,경기,60~85㎡이하,"8,705",,,,
2019-02,경기,85~135㎡이하,"1,955",,,,
2019-02,경기,135㎡초과,568,,,,
2019-02,지방소계,계,"25,838",,,,
2019-02,지방소계,40㎡이하,806,,,,
2019-02,지방소계,40~60㎡이하,"3,653",,,,
2019-02,지방소계,60~85㎡이하,"17,730",,,,
2019-02,지방소계,85~135㎡이하,"2,549",,,,
2019-02,지방소계,135㎡초과,"1,100",,,,
2019-02,기타광역시,계,"8,891",,,,
2019-02,기타광역시,40㎡이하,612,,,,
2019-02,기타광역시,40~60㎡이하,780,,,,
2019-02,기타광역시,60~85㎡이하,"6,753",,,,
2019-02,기타광역시,85~135㎡이하,522,,,,
2019-02,기타광역시,135㎡초과,224,,,,
2019-02,부산,계,"2,943",,,,
2019-02,부산,40㎡이하,217,,,,
2019-02,부산,40~60㎡이하,480,,,,
2019-02,부산,60~85㎡이하,"1,976",,,,
2019-02,부산,85~135㎡이하,238,,,,
2019-02,부산,135㎡초과,32,,,,
2019-02,대구,계,845,,,,
2019-02,대구,40㎡이하,,,,,
2019-02,대구,40~60㎡이하,214,,,,
2019-02,대구,60~85㎡이하,501,,,,
2019-02,대구,85~135㎡이하,51,,,,
2019-02,대구,135㎡초과,79,,,,
2019-02,광주,계,"2,051",,,,
2019-02,광주,40㎡이하,288,,,,
2019-02,광주,40~60㎡이하,3,,,,
2019-02,광주,60~85㎡이하,"1,512",,,,
2019-02,광주,85~135㎡이하,196,,,,
2019-02,광주,135㎡초과,52,,,,
2019-02,대전,계,299,,,,
2019-02,대전,40㎡이하,7,,,,
2019-02,대전,40~60㎡이하,81,,,,
2019-02,대전,60~85㎡이하,157,,,,
2019-02,대전,85~135㎡이하,25,,,,
2019-02,대전,135㎡초과,29,,,,
2019-02,울산,계,"2,753",,,,
2019-02,울산,40㎡이하,100,,,,
2019-02,울산,40~60㎡이하,2,,,,
2019-02,울산,60~85㎡이하,"2,607",,,,
2019-02,울산,85~135㎡이하,12,,,,
2019-02,울산,135㎡초과,32,,,,
2019-02,기타지방,계,"16,947",,,,
2019-02,기타지방,40㎡이하,194,,,,
2019-02,기타지방,40~60㎡이하,"2,873",,,,
2019-02,기타지방,60~85㎡이하,"10,977",,,,
2019-02,기타지방,85~135㎡이하,"2,027",,,,
2019-02,기타지방,135㎡초과,876,,,,
2019-02,강원,계,"1,603",,,,
2019-02,강원,40㎡이하,6,,,,
2019-02,강원,40~60㎡이하,305,,,,
2019-02,강원,60~85㎡이하,909,,,,
2019-02,강원,85~135㎡이하,272,,,,
2019-02,강원,135㎡초과,111,,,,
2019-02,충북,계,338,,,,
