주택건설실적통계(준공)(Statistics on Housing Construction(completion)) / 주택규모별 주택건설 준공실적(월계) (201007 ~ 202509),,,,,,,
다운로드 시간 : 2025-11-16   16:02,,,,,,,
,검색기간  : 201501 ~ 201901,검색분야 : 주택,작성주기 : 매월,,,,
 ,,,,,,,
월(Monthly),구  분,규모별,사용검사실적,,,,
2015-02,총계,40㎡이하,"2,422",,,,
2015-02,총계,40~60㎡이하,"7,130",,,,
2015-02,총계,60~85㎡이하,"12,665",,,,
2015-02,총계,85~135㎡이하,"3,955",,,,
2015-02,총계,135㎡초과,"2,441",,,,
2015-02,수도권소계,계,"14,032",,,,
2015-02,수도권소계,40㎡이하,"1,423",,,,
2015-02,수도권소계,40~60㎡이하,"4,051",,,,
2015-02,수도권소계,60~85㎡이하,"6,568",,,,
2015-02,수도권소계,85~135㎡이하,"1,488",,,,
2015-02,수도권소계,135㎡초과,502,,,,
2015-02,서울,계,"3,924",,,,
2015-02,서울,40㎡이하,985,,,,
2015-02,서울,40~60㎡이하,"1,785",,,,
2015-02,서울,60~85㎡이하,904,,,,
2015-02,서울,85~135㎡이하,142,,,,
2015-02,서울,135㎡초과,108,,,,
2015-02,인천,계,741,,,,
2015-02,인천,40㎡이하,45,,,,
2015-02,인천,40~60㎡이하,418,,,,
2015-02,인천,60~85㎡이하,209,,,,
2015-02,인천,85~135㎡이하,33,,,,
2015-02,인천,135㎡초과,36,,,,
2015-02,경기,계,"9,367",,,,
2015-02,경기,40㎡이하,393,,,,
2015-02,경기,40~60㎡이하,"1,848",,,,
2015-02,경기,60~85㎡이하,"5,455",,,,
2015-02,경기,85~135㎡이하,"1,313",,,,
2015-02,경기,135㎡초과,358,,,,
2015-02,지방소계,계,"14,581",,,,
2015-02,지방소계,40㎡이하,999,,,,
2015-02,지방소계,40~60㎡이하,"3,079",,,,
2015-02,지방소계,60~85㎡이하,"6,097",,,,
2015-02,지방소계,85~135㎡이하,"2,467",,,,
2015-02,지방소계,135㎡초과,"1,939",,,,
2015-02,기타광역시,계,"5,331",,,,
2015-02,기타광역시,40㎡이하,390,,,,
2015-02,기타광역시,40~60㎡이하,"2,043",,,,
2015-02,기타광역시,60~85㎡이하,"1,853",,,,
2015-02,기타광역시,85~135㎡이하,384,,,,
2015-02,기타광역시,135㎡초과,661,,,,
2015-02,부산,계,"1,020",,,,
2015-02,부산,40㎡이하,354,,,,
2015-02,부산,40~60㎡이하,125,,,,
2015-02,부산,60~85㎡이하,256,,,,
2015-02,부산,85~135㎡이하,188,,,,
2015-02,부산,135㎡초과,97,,,,
2015-02,대구,계,785,,,,
2015-02,대구,40㎡이하,2,,,,
2015-02,대구,40~60㎡이하,16,,,,
2015-02,대구,60~85㎡이하,526,,,,
2015-02,대구,85~135㎡이하,90,,,,
2015-02,대구,135㎡초과,151,,,,
2015-02,광주,계,"1,178",,,,
2015-02,광주,40㎡이하,27,,,,
2015-02,광주,40~60㎡이하,2,,,,
2015-02,광주,60~85㎡이하,950,,,,
2015-02,광주,85~135㎡이하,53,,,,
2015-02,광주,135㎡초과,146,,,,
2015-02,대전,계,377,,,,
2015-02,대전,40㎡이하,5,,,,
2015-02,대전,40~60㎡이하,200,,,,
2015-02,대전,60~85㎡이하,58,,,,
2015-02,대전,85~135㎡이하,7,,,,
2015-02,대전,135㎡초과,107,,,,
2015-02,울산,계,"1,971",,,,
2015-02,울산,40㎡이하,2,,,,
2015-02,울산,40~60㎡이하,"1,700",,,,
2015-02,울산,60~85㎡이하,63,,,,
2015-02,울산,85~135㎡이하,46,,,,
2015-02,울산,135㎡초과,160,,,,
2015-02,기타지방,계,"9,250",,,,
2015-02,기타지방,40㎡이하,609,,,,
2015-02,기타지방,40~60㎡이하,"1,036",,,,
2015-02,기타지방,60~85㎡이하,"4,244",,,,
2015-02,기타지방,85~135㎡이하,"2,083",,,,
2015-02,기타지방,135㎡초과,"1,278",,,,
2015-02,강원,계,344,,,,
2015-02,강원,40㎡이하,97,,,,
2015-02,강원,40~60㎡이하,17,,,,
2015-02,강원,60~85㎡이하,36,,,,
2015-02,강원,85~135㎡이하,73,,,,
2015-02,강원,135㎡초과,121,,,,
2015-02,충북,계,325,,,,
2015-02,충북,40㎡이하,35,,,,
2015-02,충북,40~60㎡이하,38,,,,
2015-02,충북,60~85㎡이하,82,,,,
2015-02,충북,85~135㎡이하,94,,,,
2015-02,충북,135㎡초과,76,,,,
2015-02,충남,계,917,,,,
2015-02,충남,40㎡이하,133,,,,
2015-02,충남,40~60㎡이하,20,,,,
2015-02,충남,60~85㎡이하,529,,,,
2015-02,충남,85~135㎡이하,139,,,,
2015-02,충남,135㎡초과,96,,,,
2015-02,전북,계,950,,,,
2015-02,전북,40㎡이하,8,,,,
2015-02,전북,40~60㎡이하,266,,,,
2015-02,전북,60~85㎡이하,475,,,,
2015-02,전북,85~135㎡이하,98,,,,
2015-02,전북,135㎡초과,103,,,,
2015-02,전남,계,784,,,,
2015-02,전남,40㎡이하,128,,,,
2015-02,전남,40~60㎡이하,191,,,,
2015-02,전남,60~85㎡이하,147,,,,
2015-02,전남,85~135㎡이하,179,,,,
